Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
624863.52,54420124,185151,501,47190,1257,1172,3769938,567234,0,awareness,video 15s,meta
477933.51,44077099,60963,,,,,17193093,6664043,0,consideracao,video 30s,youtube
468300.94,122682455,87870,,,,,173207,162295,0,awareness,bumper,youtube
383286.63,119423925,401798,,47858,3426,4356,752,399,0,conversao,display,meta
381176.54,183548753,170231,1802,71116,800,3368,9921577,3307796,1,awareness,stories,meta
363620.86,205131304,231334,,43536,307,813,6695952,3038770,0,awareness,video 6s,meta
361332.11,3240618,51057,1398,11810,566,3199,,,0,consideracao,video,meta
332000,91352360,321209,1549,38372,569,635,5618080,1176717,1,awareness,video 15s,meta
330203.34,35040551,28679,,,,,18891620,9918101,0,awareness,display,youtube
327701.78,112355858,282909,2217,45940,3621,2850,,,0,conversao,display,meta
323721.02,63241044,674835,,,,,0,0,0,awareness,bumper,youtube
321241.93,39065493,36008,,,,,17281577,7633273,0,consideracao,video 30s,youtube
293719.95,27058387,47507,,,,,14426478,7683542,0,consideracao,video 30s,youtube
293531.4,162851443,154016,,23891,121,654,4147948,581027,1,awareness,video,meta
292435.74,49731395,118697,,,,,0,0,0,awareness,bumper,youtube
289650.57,113035798,299138,1122,102070,,1203,8249511,345164,0,awareness,video 31s,tiktok
278957.92,76858209,41310,541,46515,7,1281,7676538,3646572,1,awareness,stories,meta
276173.63,74435657,26276,,,,,23896828,8414073,0,awareness,video,youtube
275548.74,44925735,162053,,45359,1582,380,14125897,3380724,0,consideracao,video 30s,meta
269522.99,28208994,26816,,,,,15447577,8496167,0,awareness,video 30s,youtube
263221.17,132713806,52581525,,,,,3626905,2418783,0,awareness,video,youtube
261672.11,11052139,155084,,3,1,1,8785936,7844729,0,awareness,video,meta
250000,29058321,172837,58277,638,,46,26128845,5333202,0,consideracao,video,twitter
228648.61,85032458,259348,928,93320,,1138,6833880,723388,0,awareness,video 15s,tiktok
227175.55,32550144,123963,4746,26,,18,27597466,4587191,0,awareness,display,twitter
226297.98,32326411,129706,4423,31,,9,27019364,4533080,0,awareness,display,twitter
226064.1,31559246,41623,,,,,29883374,28511727,0,awareness,display,youtube
222259.62,166642707,137732,,27769,470,252,5816841,389987,0,awareness,video 30s,meta
218555.25,42362141,39170,1014,41915,1540,1996,23350126,20368267,0,awareness,video 6s,meta
212963.35,48337963,28244,173,12151,535,1755,5882231,2731739,0,consideracao,video,meta
211235.22,92484115,235762,,43658,,383,5064628,360478,0,awareness,video 15s,tiktok
210203.32,119059864,258744,825,31759,1030,876,5071891,761593,0,awareness,video 15s,meta
207062.29,79482792,140412,,6208,189,136,2917228,243334,0,awareness,video 30s,meta
206778.67,84119900,156947,829,15572,856,1205,107475,20383,0,conversao,múltiplo,meta
206148.94,87266148,108569,,,,,17602324,5203247,0,awareness,video 31s,youtube
199865.94,48880924,93290,,,,,14656430,4370547,0,awareness,video 15s,youtube
197875.63,7965820,79680,2450,13056,118,821,997134,22,0,awareness,video,meta
197767.68,40280398,125978,679,41639,,205,3334796,519846,1,awareness,video,tiktok
197071.33,49074531,67415,,63168,2322,2494,8011332,4055011,0,awareness,video 6s,tiktok
196362.12,1668359,16330,225,3911,417,1767,,,0,consideracao,video,meta
196328.95,64582009,96436,,,,,0,0,0,awareness,video 6s,youtube
195890.83,96675035,321934,1,59951,,542,8868211,446187,0,awareness,video 15s,tiktok
195637.46,45881404,80408,314,30559,664,1448,4154101,1551908,0,awareness,video 15s,meta
181734.55,27650192,61116,112,11744,566,757,2227202,947686,0,awareness,video 6s,meta
180000.05,27753107,45685,,,,,12598412,5736057,0,consideracao,video 30s,youtube
179832.76,94227931,195351,1888,191854,,1416,8564477,1822129,1,awareness,video 6s,tiktok
178601.12,40373094,54225,,,,,0,0,0,consideracao,bumper,youtube
178484.87,54880804,213886,,61,,14,49138240,3435858,0,awareness,video 15s,twitter
177027.43,9875472,4624,34,4318,91,152,6971667,6122654,0,awareness,video 15s,meta
175763.21,54748169,110770,16683,305,,119,46879270,2571502,0,awareness,video 15s,twitter
173461.77,60238698,110809,,7841,207,205,1767659,374892,0,awareness,gif,tiktok
