Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
__-_E-M_PACOTE-VIAGEM_A_REACH_BL_-_-_BRAND_LANÇAMENTO-15S_20_9.11_23.11,PACOTE-VIAGEM_REACH_FB-IG_BL_-_-_BRAND_HERO-15S-1_CPM_TG_T003_VIDEO_PO_PO_AMPLO,VIDEO_HERO-15S-2_11-15S_OTHERS_VID_PACOTE-VIAGEM_REACH_FB-IG_BL_-_-_BRAND_HERO-15S-2_CPM_TG_T003_VIDEO_PO_PO_AMPLO,"624863,52",0,54420124,96927,501,47190,1257,1172,3769938,567234,0,awareness,video 15s
asil_Summer_NA_Awareness_Direct_Equity_NA_Meta-awareness,PBFM3B5TZ_Facebook_Multiple_Mixed_Interests_18-35_AS_CPM_summer-linha-awareness,Video_Stories_anitta-e-chester_9x16_-summer,"381176,54",49446660,183548753,3014,1802,71116,800,3368,9921577,3307796,1,awareness,video stories
_BNC-ASC_Meta_Conversion_Social-Auction__NA_-conversao-ASC,LAMPN5KEG0_Facebook_Multiple_Mixed_Amplo_AS-18+_SSNT_CPM_-BNC-conversao-ASC,Display_Mixed_-BNC-ASC_0x0_meta-conversao-asc,"375217,94",23336469,117236628,231970,2795,46801,3337,4265,735,393,0,conversao,display
__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11,PACOTE-VIAGEM_VID_FB_-_-_-_VID_DPP_CPV_CA_C001_VIDEO_FB_PO_RMKT,__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11_DPP,"361332,11",0,3240618,7366,1398,11810,566,3199,,,0,consideracao,video
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Video_Video_equity-hero-6s_0x0_meta-awareness-demo-ago,"335637,95",54919665,191772011,139425,394,40735,287,765,6252397,2842957,0,awareness,video 6s
Anitta_Equity_Awareness_Social_NA_N/A_LANCAMENTO-BR,PBF9X1ZC7_Facebook_Video_Video_Interests_T054_AS_Auction_HERO,Video_Video_HERO_15s_-Anitta,332000,47268128,91352360,216497,1549,38372,569,635,5618080,1176717,1,awareness,video 15s
_lance-perfeito_Meta_Conversion_Social-Auction__NA_meta-conversao,LAMPXQ0GSF_Facebook_Multiple_Mixed_LaL_18+_AS_CPM_lance-perfeito-meta,Display_Image_lance-perfeito_1080x1080_meta-lookalike-dinheiro,"327701,78",22339533,112355858,120499,2217,45940,3621,2850,,,0,conversao,display
_equity-nacional-trajetorias_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMP6BMGBT_Facebook_Multiple_Mixed_Demo_AS-18a34-BR_SSNT_CPM_-equity-trajetorias,Video_Video_-equity-trajetoria-jao_0x0_meta-awareness,"287240,5",48231838,158577875,102466,145,23357,120,636,4054381,567108,0,awareness,video
asil_Summer_NA_Awareness_Direct_Equity_NA_Meta,PBFQHLD3D_Facebook_Video_Stories_Interests_18-35_AS_CPV_videos--anitta,Video_Stories_video-publi-anitta_9x16_-summer-anitta,"278957,92",13717478,76858209,123,541,46515,7,1281,7676538,3646572,1,awareness,video stories
LAB_BR___-Portfolio_classico-se-ganha-suando_Meta_Consideration_Social-Auction_Equity_NA_-videoviews-minidocs,LAMPNFRH26_Facebook_Video_Mixed_Interests_AS-18a55-BR-MiniDocumentario_SSNT_CPM_-classico-se-ganha-suando,Video_Mixed_-classicos-minidocumentario-30s_0x0_meta-consideracao,"259864,18",12490014,42794806,90679,193,42962,1505,368,13396086,3211833,0,consideracao,video 30s
